date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:05:59	9272/9272	---MCZ	200	added ('OK')	text/css	etag:W/%226a86d2d6-2438%22	https://innokit.com.au/wp-content/uploads/elementor/css/custom-pro-frontend.min.css?ver=1787220694	/storage/emulated/0/HTTrack/Websites/innokit.com.au/innokit.com.au/wp-content/uploads/elementor/css/custom-pro-frontend.minc953.css	(from https://innokit.com.au/)
23:06:00	16471/16471	---MCZ	200	added ('OK')	text/css	etag:W/%2268477495-4057%22	https://innokit.com.au/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	/storage/emulated/0/HTTrack/Websites/innokit.com.au/innokit.com.au/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://innokit.com.au/)
23:06:00	5486/5486	---MCZ	200	added ('OK')	text/css	etag:W/%2268477495-156e%22	https://innokit.com.au/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min.css?ver=3.29.2	/storage/emulated/0/HTTrack/Websites/innokit.com.au/innokit.com.au/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min2801.css	(from https://innokit.com.au/)
23:06:00	382/382	---MCZ	200	added ('OK')	text/css	etag:W/%2268477495-17e%22	https://innokit.com.au/wp-content/plugins/elementor/assets/css/widget-image-carousel.min.css?ver=3.29.2	/storage/emulated/0/HTTrack/Websites/innokit.com.au/innokit.com.au/wp-content/plugins/elementor/assets/css/widget-image-carousel.min2801.css	(from https://innokit.com.au/)
23:06:00	5946/5946	---MCZ	200	added ('OK')	text/css	etag:W/%226762c5a6-173a%22	https://innokit.com.au/wp-content/plugins/elementor-pro/assets/css/widget-gallery.min.css?ver=3.24.2	/storage/emulated/0/HTTrack/Websites/innokit.com.au/innokit.com.au/wp-content/plugins/elementor-pro/assets/css/widget-gallery.min81e1.css	(from https://innokit.com.au/)
23:06:01	3303/3303	---MCZ	200	added ('OK')	text/css	etag:W/%2268477495-ce7%22	https://innokit.com.au/wp-content/plugins/elementor/assets/lib/e-gallery/css/e-gallery.min.css?ver=1.2.0	/storage/emulated/0/HTTrack/Websites/innokit.com.au/innokit.com.au/wp-content/plugins/elementor/assets/lib/e-gallery/css/e-gallery.min7359.css	(from https://innokit.com.au/)
23:06:01	33009/33009	---MCZ	200	added ('OK')	text/css	etag:W/%226762c5a6-80f1%22	https://innokit.com.au/wp-content/plugins/elementor-pro/assets/css/widget-carousel.min.css?ver=3.24.2	/storage/emulated/0/HTTrack/Websites/innokit.com.au/innokit.com.au/wp-content/plugins/elementor-pro/assets/css/widget-carousel.min81e1.css	(from https://innokit.com.au/)
23:06:01	113684/113684	---MCZ	200	added ('OK')	text/css	etag:W/%226a86d2d7-1bc14%22	https://innokit.com.au/wp-content/uploads/elementor/css/post-2761.css?ver=1787220695	/storage/emulated/0/HTTrack/Websites/innokit.com.au/innokit.com.au/wp-content/uploads/elementor/css/post-276122b1.css	(from https://innokit.com.au/)
23:06:01	19332/19332	---MCZ	200	added ('OK')	text/css	etag:W/%226a86d2d7-4b84%22	https://innokit.com.au/wp-content/uploads/elementor/css/post-88.css?ver=1787220695	/storage/emulated/0/HTTrack/Websites/innokit.com.au/innokit.com.au/wp-content/uploads/elementor/css/post-8822b1.css	(from https://innokit.com.au/)
23:06:02	25533/25533	---MCZ	200	added ('OK')	text/css	etag:W/%226a86d2d7-63bd%22	https://innokit.com.au/wp-content/uploads/elementor/css/post-597.css?ver=1787220695	/storage/emulated/0/HTTrack/Websites/innokit.com.au/innokit.com.au/wp-content/uploads/elementor/css/post-59722b1.css	(from https://innokit.com.au/)
